Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1968-07-31,-4.336377772555777,-5.10415074444433,-4.836860345788406,-3.9600870668829398,0.5880426733169261,-8.810041215402817,-5.930120171203858,-0.6038683643776572,-1.336997092513959,0.21373317565938932,-6.536989139283021,-4.66291439008626,-3.8730522681199293,-2.347963090059185,0.5176709533245503,-5.777760189333395,-6.373161898381441,-6.181222570817174,-1.344080911339076,4.493950631530572,-5.7089983262488815,2.736394387533005,-1.563166827201219,-2.64973038590992,-1.9505275021395523
1968-08-31,3.2053531469603977,5.905543366614117,3.5191800599390666,5.045004758587427,5.534782476439436,2.9265610181622526,3.9213495733612906,4.635157542715873,4.281767956576913,6.298761872318891,2.0935664866830317,6.239538826359572,3.8002379846255194,3.5246217662188766,6.529524012973378,4.675441670035923,3.775277358857554,3.0996066373292703,4.078919011995,6.415738469585559,0.263587957278513,1.956445976228352,3.908355989186866,2.0448385757144196,2.347375274842696
1968-09-30,6.519189598260833,8.648861785936502,4.760582130362375,4.644678223248974,5.865855742196109,8.3470408823129,6.713071510309374,5.893390197813324,7.673301664751291,5.927362355431274,6.144298213584947,6.182799873837117,7.022424024297583,5.213093525236591,5.7903062614255205,10.333798092414122,7.864753436365018,4.64491012533644,4.69291847836875,4.825477677233844,0.8989369089238722,6.2088943708622395,3.748701416390463,5.767794279979358,7.25920980975822
1968-10-31,-3.380049228103154,1.6275322614615946,1.7914727331815428,1.5578947925667823,0.10497658573730356,1.513580716036487,2.517026740212965,3.752751559692607,4.120685835168391,2.308257085548781,0.5366025753803236,-0.522225224231507,4.201358047775714,4.306247318209851,3.0047746510789777,-2.1709425281160426,4.481944859497073,4.157732888432611,1.4188330528181667,-0.058548093438317336,-3.73592784706239,2.3258004033671718,2.5269213161151796,1.570013254031041,3.4727628795198098
1968-11-30,7.78973280392037,6.497505504400191,6.135220963157535,6.87508577325172,6.941849329953636,10.119148961227044,6.955161130273253,9.672158136124352,11.169875439957254,6.492755283826399,6.510008186118867,8.981402792969567,3.2587668181519884,8.821522342042524,6.411402927099806,7.188109938072014,7.346923018061894,6.111421214794173,5.5588759163621235,12.190554471422264,6.695920683788134,3.852476028033037,4.983196884055926,1.6513261678675701,6.321730313005133
1968-12-31,7.189485392812206,1.3526481677338826,-0.47961375701376424,1.1440161969298746,0.09691631874795084,1.9119070153958437,-1.9262872902760897,-0.28616605968488135,1.0038038333477053,-3.255731825625876,-2.756735753723317,0.44480165472516353,-2.865994178475374,-0.8336718826643016,-2.015369068622363,-1.5143506151898773,-2.8659987239711797,-3.710840433012773,-0.7924706655185989,-7.200557138728623,-5.130119636948001,-4.529869406333562,-1.5672357540789255,-2.6545372103518186,0.03174579032506996
1969-01-31,-1.5060027056857284,-2.8869187233439937,0.1866126771590951,-1.9837473657247522,-1.4079895228628003,-3.919657999199281,-1.9080459168790662,-0.07649580089050484,-1.0594157583980246,0.5068746252115683,-1.3990224084709264,-2.1998018837466375,-4.098218897352983,-0.3362858961510675,-1.1441288879845046,-2.7255479617156757,-2.005066740517184,1.1599488175143164,0.5121159684163084,2.045136665655067,-2.2270028886227857,-1.0036755908528883,-0.4792714453696222,-0.08613842778252359,-2.3278987293249616
1969-02-28,-10.85315063414162,-11.371649839912774,-9.285605083194689,-7.767302484588128,-7.43197416328723,-12.33278615658769,-9.08227014142617,-2.782955664403255,-9.750588467405597,-9.929975003512881,-8.558077431847764,-9.234147837620272,-6.152852686814286,-9.057938997843054,-5.820981606113978,-10.234820320074995,-8.219820310089549,-4.15299983172559,-4.2903571496690525,-5.080599535047993,-2.224212424334754,-3.0160160088674646,-5.778495325816624,-6.312874477592309,-6.900767379044348
1969-03-31,4.187230889698208,1.8277155171495696,2.0720279901171152,4.377814677744412,2.595973838263525,6.786797469474743,0.17523435174623087,4.640087933964958,7.835401277688739,10.92506917860198,2.3737619707282347,-0.9987523110229211,1.358492889270451,1.518684567557762,3.3844086159951847,6.610480481229253,1.3703784364674019,2.515236199015456,5.030808304837396,12.586786630724859,5.696669916750167,3.3320757857224574,5.547622189558263,3.8684293832281544,1.6221406751095846
1969-04-30,1.7191431827978665,1.1287881137168756,-1.1058964879641668,2.6545496772139012,-0.8515305806055803,-0.19108656281309325,0.05601131538161531,2.7944566743067196,1.5276667194330789,7.464885522645598,-0.7993774387548817,0.4754811442790139,1.5756310530322253,1.1190787994748772,-0.07148082183031329,3.9808749707713407,3.483002376917522,-0.11069473882514258,2.5422570734108785,8.14439299638468,3.548568051239768,0.2945117562567078,2.3629678323442502,1.5456647100073793,3.7247253824152717
1969-05-31,2.2679939235501334,-0.2651016633349245,1.0518327909935683,2.540658697446132,0.9041010130105227,-0.599162058441234,-1.7864857622471253,-1.0987663335607722,6.7696011745679225,4.440603229209956,-0.5290389793556708,1.4420415615569189,3.413611883438467,1.0461422648675602,-1.3948429669255094,1.3366472025615357,-0.9606756992393319,1.3721304057320856,4.962474475608319,-5.732219380037835,-0.9615627937332224,0.6302918599514807,-0.6161630860989912,-1.0496186569296229,-2.2168852538550765
1969-06-30,-14.771632976239083,-11.894995179578062,-12.294126691058532,-13.25225695917569,-12.389924276228632,-12.428446570614723,-8.996127843228047,-10.000778465997453,-12.228518033256938,-11.329372525909145,-10.487047356244263,-9.981773015299927,-8.091620224149091,-11.340756227966718,-7.886561423338158,-9.132279547005435,-9.290825513710303,-8.862156122361535,-11.086106772951734,-10.932125962625337,0.14044251639176114,-8.984831693324201,-7.938098299348432,-10.107023467287924,-10.336212263873914
1969-07-31,-14.410334158642929,-9.792233779976014,-10.97876752751768,-10.735545223172723,-8.134375195804612,-10.542453133313545,-10.400906936511568,-8.705991860725202,-9.422734507459667,-5.972957585994662,-10.15386747919747,-9.37469249318273,-6.688274044568976,-6.7919029106087505,-7.532593515045368,-6.887317708401818,-6.7741636940698955,-10.943751897411953,-8.95020211874546,-7.713837833158389,-3.639048301380126,-5.863481162304318,-6.378460593273353,-8.828645795978069,-9.724067223581038
1969-08-31,6.00639997562369,5.096434374732303,3.4781254266498864,3.032158925833471,3.4941275666211724,9.026553818722428,6.5346467733585945,6.263165779154954,1.9199034728186286,2.096221467187986,9.51541865724262,7.835477386382865,8.139455784476194,5.260520041356469,5.208335012380994,9.652923066092825,8.047066700097432,6.967088212747781,5.858132911124243,1.678946336706278,7.78336092334987,5.547277130264733,3.89778563641959,4.40987428893145,2.553300800384858
1969-09-30,-3.778886218922524,-4.062793686608757,-5.427180281545318,-3.162742775696397,-3.635745450304605,0.36937379824795064,-1.6824637794357638,-4.227797502280298,-0.6962410908409741,0.09344618673933387,-0.8811201778429401,-1.3601543847653834,-0.44268590984860867,-1.2905749372716728,-1.996119096848964,-1.977799680910448,-3.2253295786842164,-1.1319467359231359,-5.856368259922181,-5.103375970776793,-0.4111732274431559,-2.407177223142821,-5.268439277829416,-4.5612992429591435,-4.630201075667848
1969-10-31,16.81341225337096,12.413039457381768,7.994980061152404,8.952308468000645,5.556137371951306,14.42392418935774,8.179247279890376,9.609449621876085,3.4285291808555307,8.516412733401145,5.81619146649584,4.902825967475378,6.7789773266242745,3.7898402838358933,4.273748840354018,7.322868685992787,10.391822661129117,5.419915429747725,5.150909905207589,8.336023300095261,6.3242706202825945,4.948484695785978,7.279763883582232,5.562788595893857,7.286343516734811
1969-11-30,-7.7861013793812415,-6.10269546729964,-6.131424210389006,-5.261264811710512,-6.654250488519301,-5.466012237267422,-5.652394311982718,-1.8416846923877919,-3.9800574102672543,-6.002582874147217,-2.923088958867956,-6.010878141984706,-6.974591138814615,-3.82351047042569,-4.932353496517602,0.1318836941333034,1.5371422189272383,-3.860045358861128,-4.684210551970551,-6.982207881656201,-0.7814975135442588,-3.2688328633487336,-1.3688937568505097,-3.3801574162545096,-5.7396179325132985
1969-12-31,-6.800756533509741,-8.299877273863238,-5.635100057362363,-8.901516627256528,-7.812025678942344,-2.836273308809373,-6.855574756658782,-6.902720259163435,-7.438135520903588,-8.094364522314232,-2.2709408984317743,-2.3324688784216003,-1.4307188017856016,-6.146956153300924,-4.000323080767794,-1.5037674978282773,0.017424968932364445,-2.1480000916634308,-1.055884821172689,-3.9206381838371493,0.8649127992553561,-3.0253690036656447,-0.37594339352818595,-0.5127006239721521,-3.8742766258056434
1970-01-31,-5.330381253187754,-2.5067851645972308,-4.490930279919368,-2.565361222053721,-2.5273232941289963,-4.645702674923556,-6.085727712032647,-5.146627582582053,-0.8129110606136308,-0.621415721591549,-6.827024094302918,-5.9819876889519525,-9.065921998034232,-5.177821368465805,-4.41127469652752,-7.798645535208062,-4.742931401427423,-7.764201336256084,-7.825456679798333,-4.451562142008301,-8.894658147865144,-8.318791035658306,-3.720168608652309,-11.395449197531295,-9.933444071133643
1970-02-28,3.1668871082962653,3.1289310791049885,6.299931037692817,2.5024928678600724,3.4986766687231206,1.0564678997315275,0.372744202226795,1.076214247639225,4.206768320119942,8.35098477498103,1.8226419443755681,1.222239543972568,0.0747774024644287,4.9159428902376705,7.742180797565382,6.292397325748207,1.029486287749002,5.887857232064425,9.132126823122123,8.369993756856294,4.031193450939275,4.940501500357136,5.769688420175385,8.261655357924795,6.544987259554653
1970-03-31,-7.1104190074811005,-7.040216896660653,-3.133129151510878,0.4006582502215454,-1.094564834661076,-7.5197008408339965,-1.2209448987659177,-1.7084666301618714,-1.4280404015305799,-0.7599157988502215,-6.196967836602695,1.9606540855345262,0.5913277738838353,1.791964102404764,0.5991204740865145,-2.3757965897282007,-0.9453998497538976,-0.49451548194208933,1.01041417211966,-2.229874566472885,-1.8504923640741788,1.1472140068193553,0.305150191478506,-1.3082689246788637,1.4319989951417247
1970-04-30,-25.454312238628695,-19.28138767603252,-14.944286230160131,-12.506487136329088,-12.248228995080854,-26.28856645656763,-15.873843302813873,-14.447416309450546,-10.649552675585726,-13.77579972052439,-21.796829363003027,-12.098470044154281,-15.215378172148707,-9.09396990584148,-10.90420982780078,-15.87807280756375,-15.212103539888897,-13.121365422003253,-13.919309225479386,-10.003470138007268,-11.176618050096025,-8.196706176251606,-10.419292459899236,-7.956823383932221,-9.715201854164517
1970-05-31,-11.26723494175248,-10.57536392128271,-10.112110088554491,-8.823801580958266,-10.103354045854008,-13.96253195231926,-13.017850308516815,-8.311311935184976,-8.001356075357222,-11.488231159056848,-7.846348178336125,-10.722209490800907,-17.09843417584038,-11.20134111373466,-7.975035105775579,-11.786895948670693,-11.892570962033016,-9.616097517610402,-7.332722346700217,-4.509725685501445,-7.384452139694508,-4.797822262629955,-7.064620217536817,-3.924270014551512,-5.344920808775328
1970-06-30,-11.421497057805864,-8.881200558259666,-6.903848178683991,-7.555191083494902,-6.551635856782245,-6.522771319504915,-6.097753551123781,-9.609320894554578,-8.390342826237013,-6.129753862985926,-6.639699742145333,-2.4785685338674543,-12.01545073751869,-3.335242394816159,-5.414960406160678,-3.392944428327213,-3.113887870998942,-6.043514111863243,-3.2967970415749726,-13.295361603379263,-7.25954229399961,-4.803988742427603,-5.257014967817043,0.47158774475236226,-11.127414724755841
1970-07-31,7.822516465513295,2.8723318743084443,5.293943350886017,4.571249523459535,2.562583452919142,7.0198602804855,13.242580229213038,5.972229707135219,14.471312121128763,11.859572517747788,9.390002689635942,7.267826908922376,11.580873702131694,8.181755811799402,6.610879211210234,6.316135952641516,8.318847141487572,11.54920651623522,10.262701895642985,6.732495488347974,4.916199095209656,8.448653643055039,8.570173693376777,9.233173603970984,9.070670424472421
1970-08-31,5.342703151603605,6.74561881054124,7.631149609835823,6.82345724887867,7.176660076706896,10.105691300864995,9.47348564654614,5.426340964169405,4.8655742318900765,8.354568323541178,3.631545093003204,9.570721155005428,6.317797172926709,11.999058192620238,6.265507078616041,6.402601685748896,10.414854646660551,4.624949910174495,9.352204079623473,5.453227326003268,3.806669059892497,2.8068751380993207,4.146521318515606,5.2338566989945425,5.579080882585566
1970-09-30,19.450836819523648,18.66344864993644,15.109457451272595,14.63055370742556,10.148633553731203,20.96633479083862,14.499075343806334,11.706788854403138,8.064589406448263,8.01880754824925,14.5441418385132,12.975045320454301,9.094765173556514,3.612084292296854,6.356387898885569,8.567090250286089,7.419587055793498,7.126222141000809,4.69528035424571,4.078708072860033,7.7062007449276315,1.169274988568894,-0.3081010482262575,2.157307600896928,8.770119967576264
1970-10-31,-11.652257259149463,-7.873162360061469,-10.664792788425006,-8.460497551967435,-3.3851815963211385,-3.0058088694079172,-5.819289779527003,-9.684134313112144,-5.512253215898553,-4.830221951958535,-3.4860191563532523,-3.396013718120893,-4.308248518095784,-4.6668288063752215,-3.4177637614783136,-4.201869683431041,-4.040463766861136,-3.860413615575548,-1.3605922388213811,-6.795005570713425,0.18494440540099505,-2.7794843967684786,-3.8801211498486157,0.3836266078880652,-3.9520614866453174
