portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,r_squared
SMALL LoBM,stock,-0.39995540025398013,1.1236496299994763,32.86012688398122,1.4419521681104523,28.494186302501234,-0.1936775137924699,-3.1932829640936657,0.8958286404551923
ME1 BM2,stock,-0.08633877509661282,0.9950205227386852,37.902461679319295,1.2265436626878576,31.570791790919056,0.06740429841766717,1.4475809235697465,0.9154499944780581
ME1 BM3,stock,-0.16121496103520563,0.9821459793701741,41.88798302955243,1.1545630656529398,33.27347411720647,0.2673092760229773,6.42757740085657,0.9266049249719807
ME1 BM4,stock,-0.008061910405093615,0.9368196416479146,48.10584531736308,1.13990657635776,39.55288842501692,0.4016563541351919,11.628304192020185,0.9450185080127839
SMALL HiBM,stock,0.0423454779035189,0.9610668360692823,45.65596899832578,1.1725118295098453,37.638151733650155,0.6592496127957242,17.656870692329655,0.9405020415707174
ME2 BM1,stock,-0.14367429754104347,1.1948634986371147,37.65495768883396,0.9968042817773106,21.226620073107036,-0.5298793980258665,-9.41457638805643,0.8980017780182658
ME2 BM2,stock,-0.16350876792024877,1.0823320401052685,41.4911672726377,1.0235974336655385,26.514986393989233,0.056812569184168084,1.2278899565677937,0.9139840031236077
ME2 BM3,stock,0.053350286529354064,1.0189352408492178,47.32972357580189,0.8821420534215928,27.688089713264098,0.20602393493401291,5.395416085103046,0.9283066702673546
ME2 BM4,stock,0.11393925374785341,1.0224923388211735,47.3029700444187,0.8064146424854487,25.208896451276573,0.46111367351430343,12.026969996638586,0.9245594792973949
ME2 BM5,stock,-0.031896817527633604,1.060647482616013,43.80766711729875,0.8970745006433956,25.036559889945455,0.6711810827625024,15.629268347723185,0.9174235588981674
ME3 BM1,stock,-0.191019227893689,1.1098662195668523,42.52402593806924,0.8026232247484385,20.779856577413707,-0.3808500749877525,-8.226927427346286,0.9108310713880676
ME3 BM2,stock,0.20531649276558944,1.085310844269747,45.09674828744034,0.7226606727666047,20.290492515332783,0.033306013951080425,0.7802497261588541,0.9118919315565058
ME3 BM3,stock,0.08037555512477881,1.0388195865842917,41.777032190184585,0.6659993535467209,18.098323429583758,0.22339412855918794,5.0651124242889,0.8958632765579927
ME3 BM4,stock,0.11478056370182609,1.0018599642233943,43.54493358635867,0.5555319889770161,16.31573957213715,0.5146445106476506,12.611241288695055,0.8983717207930424
ME3 BM5,stock,0.16352213968272505,1.0409120160401346,42.757460889923266,0.608914985381736,16.901359112742455,0.6451455909897823,14.940856632275134,0.8979164708505804
ME4 BM1,stock,0.06082060998477466,1.1084842533915238,48.130394716933516,0.3570377210623021,10.475411188201907,-0.39723934174058806,-9.724382395146295,0.911910007252176
ME4 BM2,stock,-0.04950065299460275,1.1191736873004698,43.84604631913251,0.3820587836526347,10.11416928288153,0.003503960077935005,0.0773948345893951,0.8883123528769239
ME4 BM3,stock,0.02356854187016947,1.0740142165848932,45.58014352031274,0.3676275692253399,10.542432112819645,0.2562446682102838,6.131127893452491,0.8933795272984976
ME4 BM4,stock,0.1190699899069933,1.1196843662765465,42.03140391976169,0.2958002068088719,7.503153606800286,0.5235274645436881,11.07994568971009,0.8716785880210004
ME4 BM5,stock,0.027838741462937494,1.1539478238087995,34.607228785664454,0.39583707505982446,8.021659118254227,0.7470485166948573,12.63133748997624,0.8312446468301234
BIG LoBM,stock,0.21711922711752676,0.9752653071176728,53.05927757062525,-0.1457741582762933,-5.359029919489511,-0.4514146439598506,-13.846310945095333,0.9155326712665417
ME5 BM2,stock,-0.09174625151686433,1.0407040473903941,52.76535350150918,-0.13301554791817635,-4.557126648919729,0.029623541940427555,0.8467953642627385,0.9014604276537659
ME5 BM3,stock,-0.18757046358753623,1.0455924565143262,45.150484739151295,-0.1259896591453326,-3.6762239419943428,0.21871894371187925,5.3248362325495044,0.8670663504507035
ME5 BM4,stock,-0.11147052547383927,1.0816954496708353,43.627615182151665,-0.12768151043911918,-3.4797782143802696,0.49669358817173054,11.29444524574711,0.8581916670137127
BIG HiBM,stock,-0.2699497635698735,1.2003755143693624,36.605020137168644,-0.055086772939398204,-1.13510996383756,0.9563293527045865,16.44185779110298,0.8217589110222656
SHORT_TERM,bond,0.05720300662153014,-5.516331166434441e-05,-0.10636481204555251,-0.00021729503294688388,-0.2843232826809898,-0.0005964455147177006,-0.6554263171634052,0.0016992850017377714
LONG_TERM,bond,0.10385686725555794,0.0029010104367836118,2.0673637027043186,0.0004397475288814356,0.21266008475571552,8.831350539523557e-05,0.035867422720556534,0.01575997726504419
AAA,bond,0.12212281615864069,0.003181941582888245,2.2074884935841044,0.0005178416198548206,0.24379128589535626,0.00027405750124754344,0.10835610668689094,0.017879679883966104
AA,bond,0.14038876506172415,0.0034628727289928167,2.3306166606491385,0.0005959357108282548,0.2721752976912715,0.0004598014970998167,0.17636408503652637,0.019870644889994793
A,bond,0.15865471396480824,0.0037438038750973904,2.437583589505159,0.000674029801801566,0.29781084318179185,0.0006455454929520223,0.23954037957725868,0.021700461865338583
BBB,bond,0.17692066286789196,0.004024735021201973,2.5296214433875597,0.0007521238927751039,0.3207913178857491,0.0008312894888043433,0.297766600373458,0.02335229656544313
LOW_GRADE,bond,0.1951866117709757,0.004305666167306602,2.6081812369277415,0.0008302179837483677,0.3412750411168858,0.0010170334846566235,0.35110589054862507,0.024821786722829198
