portfolio,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared,r_squared_table1,r_squared_table3,r_squared_table4,type
SMALL LoBM,0.3093731158795533,1.1411987598235993,33.15580485573048,1.4418070020536318,28.735628978273045,-0.18926836466184113,-3.144974467820288,-0.25181794644409866,-2.135772546068361,-0.3630247200790306,-1.1326460161006557,0.8983994188396917,0.6455242647997419,0.012348050938511435,0.8958286404551923,stock
ME1 BM2,-0.02900949998004252,0.995246919485422,37.202974526115035,1.2271438530000927,31.467163199610724,0.06824967308555324,1.45911058749481,0.022635446811607444,0.24700510679312523,-0.07793984836299131,-0.3128715675245407,0.9154801856719605,0.6583861506946007,0.02553771629636359,0.9154499944780581,stock
ME1 BM3,-0.3822295946109597,0.9769372184407732,40.973206329610385,1.1544752051785823,33.21491908836232,0.26582910015696626,6.376415768385119,0.06911241284916558,0.8461734383587313,0.12368256658407707,0.5570593948312632,0.9269374339233709,0.6608480775250343,0.03307419230656117,0.9266049249719807,stock
ME1 BM4,-0.08673563011427393,0.9347321326120503,47.12016688914126,1.1399951059857734,39.42193413004895,0.40122520397141126,11.567743884692803,0.03301802879195505,0.48589320683009396,0.034511776281696674,0.18683002796352643,0.945080227078446,0.6442694359379084,0.029753476528158962,0.9450185080127839,stock
SMALL HiBM,0.1741506355902625,0.961244078723182,44.888487784390456,1.174067944605348,37.61056188640519,0.6613340344542241,17.662939503817807,0.0644207123616586,0.8782069267416754,-0.19318656597104583,-0.9688084962762115,0.9407272335332117,0.600462755251925,0.025868511516036308,0.9405020415707174,stock
ME2 BM1,0.5324341078390378,1.2083840856303718,37.68116547099974,0.9983121391080819,21.355068824298694,-0.5243611609799627,-9.35170194844767,-0.12437650258457528,-1.13221188201879,-0.47676786519079906,-1.5965628676194608,0.8997165047262184,0.7483420112000551,0.014552688728593943,0.8980017780182658,stock
ME2 BM2,-0.7949071285825494,1.070267411672181,40.67212133996894,1.0219008417927389,26.639653579780575,0.05142873228874838,1.1177666616804083,0.09588814840858059,1.0637498038375055,0.468148643551863,1.9105042613975973,0.9157386836583215,0.7294879895903754,0.043574067517684445,0.9139840031236077,stock
ME2 BM3,0.24995674849928415,1.0230560671188198,46.70314902434913,0.8824834165852864,27.63557948465853,0.2075509859144523,5.4189150199523235,-0.04298953511980873,-0.5729009149246902,-0.1309274975683264,-0.6418555712036799,0.9285457862742701,0.7483691561023718,0.02459505586195565,0.9283066702673546,stock
ME2 BM4,0.07623177335377379,1.0217208334211352,46.378836564896744,0.8063395025695863,25.10850360950744,0.460813070629125,11.96336079461102,0.007565761440505148,0.10025597896222141,0.02587874814956718,0.1261509669629647,0.9245682902566048,0.7297637010814941,0.031245528256268362,0.9245594792973949,stock
ME2 BM5,0.4786593589290892,1.068960237233936,43.621800222195034,0.899187108496534,25.17140161519921,0.6761264670104323,15.780137419614633,-0.02550013386886847,-0.3037767503074726,-0.4373795035060999,-1.9167266426914102,0.9185674569157471,0.6759617246624136,0.01948844484167045,0.9174235588981674,stock
