portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,r_squared
SMALL LoBM,stock,-0.1950100917719379,1.4456920784612248,24.88298561090355,0.6455242647997419
ME1 BM2,stock,0.19457713203371504,1.2441712134719622,25.598355578392923,0.6583861506946007
ME1 BM3,stock,0.19681386696029368,1.194912088581034,25.73908667727303,0.6608480775250343
ME1 BM4,stock,0.40866280009444783,1.1321804355066971,24.814905891095016,0.6442694359379084
SMALL HiBM,stock,0.5839840725769664,1.1357429153331013,22.604966132679795,0.600462755251925
ME2 BM1,stock,-0.18381033149922246,1.459761474074223,31.79685461628285,0.7483420112000552
ME2 BM2,stock,0.07118388736679142,1.2901978861544705,30.279957098276483,0.7294879895903754
ME2 BM3,stock,0.32772197122494073,1.1813081052146075,31.799146342839336,0.7483691561023718
ME2 BM4,stock,0.48999727746357474,1.1418063326181254,30.301124449953004,0.7297637010814941
ME2 BM5,stock,0.4590859937041533,1.1764837028854085,26.631912495511706,0.6759617246624134
ME3 BM1,stock,-0.20230526071684699,1.3182710339385457,35.61931252362897,0.7886538738508148
ME3 BM2,stock,0.3678859188428856,1.2327906361874714,37.05386900239375,0.8015165545685334
ME3 BM3,stock,0.3186727347513418,1.1541645025934224,34.499005112176526,0.7778041150670062
ME3 BM4,stock,0.46428657014317193,1.0630250914246453,32.12076207126193,0.7521402246978129
ME3 BM5,stock,0.5838246009127045,1.0993025883840541,29.689217481725617,0.7216422271149534
ME4 BM1,stock,-0.048800174172055344,1.22551177150513,46.61945184698643,0.8647236360459064
ME4 BM2,stock,0.02997136895610621,1.198649524678937,44.57225870107756,0.8538694245405649
ME4 BM3,stock,0.21614050226728265,1.1234927956069172,42.30078520580424,0.8403273424002258
ME4 BM4,stock,0.41972132242216653,1.1256175199869531,36.231590308978234,0.7942795354367623
ME4 BM5,stock,0.4515028678656465,1.1569267558439051,28.458216528232075,0.704314423378984
BIG LoBM,stock,-0.01984772103987172,0.9929890947656507,44.71309978541013,0.8546549711647395
ME5 BM2,stock,-0.10525362775071595,1.0097414926493822,53.94480684738563,0.8953859733004893
ME5 BM3,stock,-0.11282647379769241,0.9959115643701575,44.30094011165068,0.8523391195531662
ME5 BM4,stock,0.09055534760539885,1.0019859828204523,37.21848020127608,0.8029231446015209
BIG HiBM,stock,0.15790372410864162,1.0867701951052244,26.79816453668089,0.6786819526242129
SHORT_TERM,bond,0.05688000862489653,-3.997665236817105e-05,-0.08389316713063134,2.0760818216336574e-05
LONG_TERM,bond,0.10399365309940325,0.0029876667201936286,2.31902456154607,0.015616203329988032
AAA,bond,0.12236246479927262,0.003266142375072751,2.4679008199516472,0.017649091612145784
AA,bond,0.14073127649914277,0.003544618029951828,2.5981502641442993,0.019523867772624603
A,bond,0.15910008819901353,0.0038230936848308882,2.7107611212267075,0.021216294202707986
BBB,bond,0.1774688998988839,0.00410156933970999,2.8071420978860018,0.022716921400865564
LOW_GRADE,bond,0.19583771159875427,0.004380044994589089,2.888926799805982,0.02402762808307146
