,Low,2,3,4,High
SMALL,-0.19 / -3.19,0.07 / 1.45,0.27 / 6.43,0.40 / 11.63,0.66 / 17.66
ME2,-0.53 / -9.41,0.06 / 1.23,0.21 / 5.40,0.46 / 12.03,0.67 / 15.63
ME3,-0.38 / -8.23,0.03 / 0.78,0.22 / 5.07,0.51 / 12.61,0.65 / 14.94
ME4,-0.40 / -9.72,0.00 / 0.08,0.26 / 6.13,0.52 / 11.08,0.75 / 12.63
BIG,-0.45 / -13.85,0.03 / 0.85,0.22 / 5.32,0.50 / 11.29,0.96 / 16.44
