,Low,2,3,4,High
SMALL,0.65 / 4.87,0.66 / 4.07,0.66 / 3.89,0.64 / 3.82,0.60 / 4.21
ME2,0.75 / 3.85,0.73 / 3.57,0.75 / 3.11,0.73 / 3.16,0.68 / 3.70
ME3,0.79 / 3.10,0.80 / 2.79,0.78 / 2.80,0.75 / 2.77,0.72 / 3.10
ME4,0.86 / 2.20,0.85 / 2.25,0.84 / 2.23,0.79 / 2.60,0.70 / 3.41
BIG,0.85 / 1.86,0.90 / 1.57,0.85 / 1.88,0.80 / 2.26,0.68 / 3.40
