,Low,2,3,4,High
SMALL,1.44 / 28.49,1.23 / 31.57,1.15 / 33.27,1.14 / 39.55,1.17 / 37.64
ME2,1.00 / 21.23,1.02 / 26.51,0.88 / 27.69,0.81 / 25.21,0.90 / 25.04
ME3,0.80 / 20.78,0.72 / 20.29,0.67 / 18.10,0.56 / 16.32,0.61 / 16.90
ME4,0.36 / 10.48,0.38 / 10.11,0.37 / 10.54,0.30 / 7.50,0.40 / 8.02
BIG,-0.15 / -5.36,-0.13 / -4.56,-0.13 / -3.68,-0.13 / -3.48,-0.06 / -1.14
