,Low,2,3,4,High
SMALL,1.45 / 24.88,1.24 / 25.60,1.19 / 25.74,1.13 / 24.81,1.14 / 22.60
ME2,1.46 / 31.80,1.29 / 30.28,1.18 / 31.80,1.14 / 30.30,1.18 / 26.63
ME3,1.32 / 35.62,1.23 / 37.05,1.15 / 34.50,1.06 / 32.12,1.10 / 29.69
ME4,1.23 / 46.62,1.20 / 44.57,1.12 / 42.30,1.13 / 36.23,1.16 / 28.46
BIG,0.99 / 44.71,1.01 / 53.94,1.00 / 44.30,1.00 / 37.22,1.09 / 26.80
