,Low,2,3,4,High
SMALL,1.12 / 32.86,1.00 / 37.90,0.98 / 41.89,0.94 / 48.11,0.96 / 45.66
ME2,1.19 / 37.65,1.08 / 41.49,1.02 / 47.33,1.02 / 47.30,1.06 / 43.81
ME3,1.11 / 42.52,1.09 / 45.10,1.04 / 41.78,1.00 / 43.54,1.04 / 42.76
ME4,1.11 / 48.13,1.12 / 43.85,1.07 / 45.58,1.12 / 42.03,1.15 / 34.61
BIG,0.98 / 53.06,1.04 / 52.77,1.05 / 45.15,1.08 / 43.63,1.20 / 36.61
