,Low,2,3,4,High
SMALL,-0.65 / -5.39,-0.34 / -3.25,-0.13 / -1.31,0.02 / 0.22,0.27 / 2.76
ME2,-1.02 / -8.15,-0.38 / -3.45,-0.21 / -2.03,0.05 / 0.44,0.24 / 2.23
ME3,-0.83 / -7.34,-0.41 / -3.71,-0.20 / -1.87,0.11 / 1.05,0.22 / 2.09
ME4,-0.85 / -7.62,-0.45 / -3.97,-0.18 / -1.66,0.07 / 0.60,0.28 / 2.27
BIG,-0.85 / -8.76,-0.39 / -3.81,-0.21 / -1.95,0.06 / 0.52,0.47 / 3.72
