,Low,2,3,4,High
SMALL,2.00 / 20.47,1.72 / 20.50,1.64 / 20.17,1.60 / 21.09,1.65 / 20.98
ME2,1.59 / 15.75,1.56 / 17.37,1.39 / 16.73,1.31 / 15.78,1.42 / 16.30
ME3,1.35 / 14.74,1.26 / 14.17,1.18 / 13.71,1.05 / 12.75,1.12 / 13.08
ME4,0.90 / 10.06,0.93 / 10.17,0.90 / 10.23,0.85 / 9.17,0.97 / 9.75
BIG,0.34 / 4.29,0.38 / 4.56,0.39 / 4.56,0.41 / 4.57,0.54 / 5.28
