,Low,2,3,4,High
SMALL,0.56 / 5.42,0.56 / 4.65,0.55 / 4.51,0.57 / 4.22,0.57 / 4.36
ME2,0.47 / 5.59,0.48 / 4.98,0.45 / 4.60,0.43 / 4.61,0.45 / 4.84
ME3,0.43 / 5.09,0.38 / 4.93,0.36 / 4.77,0.33 / 4.57,0.35 / 4.77
ME4,0.31 / 4.99,0.25 / 5.10,0.24 / 4.87,0.20 / 5.14,0.23 / 5.50
BIG,0.21 / 4.34,0.09 / 4.63,0.07 / 4.75,0.06 / 4.94,0.12 / 5.65
