,Low,2,3,4,High
SMALL,419.04 / 23438.43,288.39 / 23311.25,278.89 / 22691.66,303.39 / 21464.98,521.21 / 16153.52
ME2,121.64 / 108237.19,91.96 / 106179.00,86.64 / 107275.82,80.29 / 107725.83,71.71 / 103429.93
ME3,98.43 / 252051.86,75.18 / 253381.90,67.00 / 255705.05,60.29 / 254852.61,41.11 / 251195.84
ME4,79.29 / 621456.76,62.36 / 631646.45,54.79 / 623610.01,48.39 / 639507.95,31.61 / 631195.43
BIG,84.71 / 3848010.65,54.68 / 3290641.96,46.25 / 3392519.46,38.86 / 3075283.01,24.32 / 2518772.12
