Date,Mkt-RF,SMB,HML,RF
1963-07,-0.39,-0.57,-0.81,0.27
1963-08,5.08,-0.95,1.7,0.25
1963-09,-1.57,-0.25,0.0,0.27
1963-10,2.54,-0.57,-0.04,0.2899999999999999
1963-11,-0.8599999999999999,-1.16,1.73,0.27
1963-12,1.83,-1.96,-0.2099999999999999,0.2899999999999999
1964-01,2.24,-0.2399999999999999,1.63,0.2999999999999999
1964-02,1.55,0.12,2.81,0.26
1964-03,1.41,0.95,3.29,0.31
1964-04,0.1,-1.35,-0.54,0.2899999999999999
1964-05,1.41,-0.8399999999999999,1.81,0.26
1964-06,1.27,-0.23,0.68,0.2999999999999999
1964-07,1.74,0.19,0.79,0.2999999999999999
1964-08,-1.44,0.01,0.07,0.28
1964-09,2.69,-0.63,1.72,0.28
1964-10,0.5999999999999999,0.4799999999999999,1.08,0.2899999999999999
1964-11,-0.01,0.62,-2.04,0.2899999999999999
1964-12,0.04,-0.2399999999999999,-2.43,0.31
1965-01,3.54,2.57,0.3599999999999999,0.28
1965-02,0.44,3.31,0.22,0.2999999999999999
1965-03,-1.34,1.79,1.15,0.3599999999999999
1965-04,3.11,1.14,0.7299999999999999,0.31
1965-05,-0.78,0.02,-1.55,0.31
1965-06,-5.51,-4.07,0.23,0.3499999999999999
1965-07,1.44,0.8599999999999999,2.19,0.31
1965-08,2.73,2.85,-0.98,0.33
1965-09,2.86,0.63,-0.14,0.31
1965-10,2.6,2.52,1.55,0.31
1965-11,-0.0299999999999999,4.69,0.16,0.3499999999999999
1965-12,1.01,2.07,2.15,0.33
1966-01,0.7199999999999999,4.02,3.27,0.38
1966-02,-1.21,4.44,0.38,0.3499999999999999
1966-03,-2.51,0.8599999999999999,-2.13,0.38
1966-04,2.13,3.44,-0.3599999999999999,0.34
1966-05,-5.67,-4.6,-1.6,0.4099999999999999
1966-06,-1.44,1.02,0.4899999999999999,0.38
1966-07,-1.63,-0.3499999999999999,0.91,0.3499999999999999
1966-08,-7.94,-3.26,0.5,0.4099999999999999
1966-09,-1.06,-1.01,0.4799999999999999,0.4
1966-10,3.86,-6.6,2.74,0.45
1966-11,1.38,4.07,-4.63,0.4
1966-12,0.13,1.93,-0.95,0.4
1967-01,8.15,8.099999999999998,2.36,0.4299999999999999
1967-02,0.77,3.32,-2.26,0.3599999999999999
1967-03,3.99,1.47,0.4699999999999999,0.39
1967-04,3.89,0.4699999999999999,-2.29,0.32
1967-05,-4.32,2.11,0.8,0.33
1967-06,2.42,5.85,0.8,0.27
1967-07,4.58,3.17,2.75,0.32
1967-08,-0.9,0.4299999999999999,1.43,0.31
1967-09,3.1,3.04,-2.47,0.32
1967-10,-3.08,1.47,-3.29,0.39
1967-11,0.37,0.1799999999999999,-1.71,0.3599999999999999
1967-12,3.05,5.62,-0.54,0.33
1968-01,-4.03,3.99,4.85,0.4
1968-02,-3.74,-2.94,1.23,0.39
1968-03,0.2099999999999999,-1.3,-0.63,0.38
1968-04,9.02,5.66,-1.1,0.4299999999999999
1968-05,2.28,6.29,0.82,0.45
1968-06,0.6999999999999998,-0.19,0.66,0.4299999999999999
1968-07,-2.709538993119686,-0.9209997428415264,5.063482216533275,0.48
1968-08,1.3500768165239836,2.499233405667566,1.6751594485049572,0.42
1968-09,3.983794750695228,1.7025958378927235,1.4823813827080958,0.43
1968-10,0.425333215335331,0.7954110533942254,4.055981193416191,0.44
1968-11,5.42509677690651,2.190467687469564,-2.027375815489194,0.42
1968-12,-3.9326879957739935,3.639347706454886,-0.2653668086934482,0.43
1969-01,-1.2680784350117442,-0.4702843303752136,1.4756276800022765,0.53
1969-02,-5.819578687242156,-4.487931541300427,-0.3087046770191282,0.4599999999999999
1969-03,2.6411474354974525,-0.5555312524889944,1.6181092317049215,0.4599999999999999
1969-04,1.4816950688066648,-0.8977704783103476,0.0009332791902055,0.53
1969-05,-0.0967681805175388,1.790617888593978,0.905079902154118,0.48
1969-06,-7.158153637787382,-4.881688525914296,-3.307674065908661,0.51
