portfolio,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared,r_squared_table1,r_squared_table3,r_squared_table4,type
SMALL LoBM,0.3249810694276633,1.0507822999131622,39.658418246986756,1.4175786570934834,36.29851166196209,-0.27748784367750073,-6.304384478842649,-0.13912364961746188,-1.6152784697873093,-0.47735712112531203,-2.0420581755096423,0.9402771304261047,0.699295230768058,0.010576111535972599,0.9384647556755955,stock
ME1 BM2,-0.09404101783342964,0.9665998636585854,48.896962128085164,1.280187988155839,43.93674794785329,0.08364293360113001,2.547067732310662,-0.016430459452097854,-0.255687006684842,0.019704809013759105,0.1129820480846834,0.9565082284617711,0.7031608407761187,0.022882853582272933,0.9564996663062769,stock
ME1 BM3,-0.3628788544540003,0.9374140192629331,56.192700645243875,1.1581776573589504,47.102358719863766,0.27247380099907065,9.83216821182532,0.04371711411446202,0.8061646459722447,0.2339775180220242,1.5897347048584591,0.9638298120710215,0.7078153022117966,0.03222832374533646,0.9633372361071546,stock
ME1 BM4,-0.03675490406339353,0.8969694858202043,58.97568342477108,1.1050488929198152,49.294199614188514,0.3939395240238753,15.59196884195801,-0.006021797163943834,-0.12179942514146497,0.09852557363196665,0.7342540490934097,0.9661841818958862,0.6877520382972482,0.027203424432478918,0.966128070128238,stock
SMALL HiBM,0.12031903097144636,0.950512907519491,57.25618212033841,1.1927958551097833,48.74718037575119,0.6147212843528349,22.29044334602067,0.04430041783631808,0.8209108422993046,-0.10599298726299412,-0.7236749901400329,0.9641513659899859,0.6445402940637149,0.02517662477138749,0.964055601128889,stock
ME2 BM1,-0.015891910245319503,1.1098831779224274,53.11956356249497,0.9984647101230343,32.42119072950358,-0.46806781672991304,-13.485346168383778,-0.1474549803860567,-2.1710032682852476,0.05343199338628524,0.28985491604508856,0.9577659354616128,0.8062067456927963,0.019015365785438165,0.9571450306621844,stock
ME2 BM2,-0.40852461631156345,1.017627145479591,59.29969410369483,0.9370086809330274,37.04472680791248,0.028294291001131525,0.9925186464179159,-0.048638798374914055,-0.8719074915729802,0.4003936024379857,2.644557194382356,0.9618342130334243,0.8035837598175655,0.033393108046717246,0.9610397206838763,stock
ME2 BM3,0.17081788394292438,0.9631222330119623,58.36320342936244,0.8513695499373481,35.002159410175345,0.23756809350964875,8.666064448704747,0.08362549648944502,1.5589070625678942,-0.12638558881646644,-0.868075169540598,0.957552657099363,0.7888105168007327,0.030134658849451768,0.9572292790693575,stock
ME2 BM4,-0.09798320155977899,0.959149040029825,61.93426076195712,0.704097430172211,30.845842254896148,0.4670348844481854,18.15391391065438,0.053447655871670455,1.0616890220172321,0.15964185092105848,1.168405737651786,0.9568591941145366,0.7833422053024026,0.03853796637959983,0.9563751364347216,stock
ME2 BM5,0.3319467938265297,1.0768587867187496,64.2987486347008,0.8513561296438593,34.48847920766671,0.6905560169132268,24.820971022794595,-0.0640893630699748,-1.1772088618329712,-0.17452372135967117,-1.1811370545632898,0.9603372466265958,0.7356916658693733,0.022961584497658616,0.9598401156984059,stock
