Type,Label,Mean,Std,N,T_Stat
Stock,SMALL LoBM,0.312969298245614,7.780296562996481,342,0.7439069869574235
Stock,ME1 BM2,0.6659301169590643,6.802216134220986,342,1.810469789689218
Stock,ME1 BM3,0.7383093567251462,6.294558604402089,342,2.169132812872663
Stock,ME1 BM4,0.8677204678362573,5.935179553823071,342,2.7037033104485273
Stock,SMALL HiBM,0.9898023391812865,6.29199620405496,342,2.909196637414536
Stock,ME2 BM1,0.39363508771929817,7.295926596130607,342,0.9977607154451112
Stock,ME2 BM2,0.644304970760234,6.303594154150405,342,1.8902371346298459
Stock,ME2 BM3,0.8409856725146199,5.747859673686067,342,2.7057987582815253
Stock,ME2 BM4,0.8987906432748537,5.350571058066562,342,3.1065007269390854
Stock,ME2 BM5,0.9820684210526315,6.034675614073525,342,3.009545192035925
Stock,ME3 BM1,0.4365657894736843,6.663286060114347,342,1.2116419323302787
Stock,ME3 BM2,0.6474535087719298,5.731754173668216,342,2.088979056750512
Stock,ME3 BM3,0.676937134502924,5.198647790692003,342,2.4080804773104574
Stock,ME3 BM4,0.825412865497076,4.93306404673196,342,3.0943364477530317
Stock,ME3 BM5,0.9217754385964911,5.701715081597087,342,2.9897348464238536
Stock,ME4 BM1,0.45957076023391813,5.899896846030893,342,1.4405257432493568
Stock,ME4 BM2,0.36564093567251466,5.419393321725482,342,1.24772016171029
Stock,ME4 BM3,0.6161619883040935,5.092112168255271,342,2.2377419015695277
Stock,ME4 BM4,0.7928505847953217,4.940149540043384,342,2.968002815031082
Stock,ME4 BM5,0.886535087719298,5.653862869099105,342,2.899771060275627
Stock,BIG LoBM,0.369575730994152,4.918021159286759,342,1.3897161505675057
Stock,ME5 BM2,0.3373672514619885,4.723939329348985,342,1.3207227680517488
Stock,ME5 BM3,0.3557593567251463,4.392366468976159,342,1.497858597938152
Stock,ME5 BM4,0.5072976608187134,4.319305472816416,342,2.1720108640418903
Stock,BIG HiBM,0.5285520467836258,4.790910639312888,342,2.0402469700154056
Bond,SHORT_TERM,0.05686461388073882,0.03958294013041956,341,26.528410830333677
Bond,LONG_TERM,0.10514418377321297,0.10786195327185866,341,18.000897658570665
Bond,AAA,0.12362023460410125,0.11091691766950572,341,20.58111790836777
Bond,AA,0.14209628543499025,0.11444857037408042,341,22.927122029578893
Bond,A,0.16057233626587986,0.11841426801581649,341,25.040551001589762
Bond,BBB,0.17904838709676915,0.12277195710933375,341,26.930748469783776
Bond,LOW_GRADE,0.1975244379276585,0.12748144574358294,341,28.612186293209916
Factor,Mkt-RF,0.41064327485380114,4.591769271155664,342,1.6538560656576997
Factor,SMB,0.2578288499025341,2.8612159866976867,342,1.6664562690455478
Factor,HML,0.3797818713450293,2.5385957266759447,342,2.7666469235633944
Factor,TERM,1.2554093567251434,1.2981923962282325,342,17.8837814191623
Factor,DEF,1.1080994152046737,0.4785310631060733,342,42.82344916606981
