portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,r_squared
SMALL LoBM,stock,-0.3689829175133968,1.0345421746919115,39.320673028266306,1.4198400139629566,35.94945652978408,-0.28687859241583963,-6.454850869777313,0.9384647556755955
ME1 BM2,stock,-0.09264250798650284,0.9661018072831455,49.95247739616942,1.2804721331417572,44.10465649977255,0.08348675893392435,2.555448116100519,0.9564996663062769
ME1 BM3,stock,-0.052806576188124676,0.944084449782229,57.459761734673705,1.157485918528768,46.929817784016876,0.2764764394667613,9.96153885403326,0.9633372361071546
ME1 BM4,stock,0.06379193472248444,0.898490956024792,60.337975732765294,1.1051735295675524,49.44104888627986,0.3950258181170754,15.704272991916728,0.966128070128238
SMALL HiBM,stock,0.05862924323449483,0.95086917777399,58.471948239277836,1.1920178652352622,48.830338397308246,0.6144802719117799,22.369180171299178,0.964055601128889
ME2 BM1,stock,-0.13855006564665986,1.1031101914351875,53.57580502917612,1.0009870620162102,32.386084738049135,-0.4710150342432551,-13.542533135723422,0.9571450306621844
ME2 BM2,stock,-0.02961450418834552,1.0225366857642513,60.28516890241384,0.9379266203386064,36.83669186226282,0.03211611915577944,1.1209080114864356,0.9610397206838763
ME2 BM3,stock,0.13510997383040702,0.9651701633466534,59.56008440217488,0.8499174897471928,34.9388300390392,0.23803614638748427,8.69580227537031,0.9572292790693575
ME2 BM4,stock,0.1426026834507338,0.9649448921753744,63.338269473814165,0.7032233453649195,30.749434759987714,0.47034515432529517,18.27661169204418,0.9563751364347216
ME2 BM5,stock,0.061979004745373836,1.0702244244800985,64.91656930920809,0.8524080440277263,34.44359046343132,0.6867983646695003,24.66182907438145,0.9598401156984059
ME3 BM1,stock,-0.03100988917459134,1.1019660745856839,59.77785215191678,0.6950226396819825,25.116042478665708,-0.43218536540858077,-13.878977375678545,0.958814851455765
ME3 BM2,stock,0.05117846778538672,1.0176565183137898,57.04417464080065,0.6397865481798489,23.89050675566399,0.035351360195209174,1.1730905588507796,0.9478725546600466
ME3 BM3,stock,0.01858649748115902,0.9731111904381873,54.372515480579764,0.5426551249294969,20.198589494784166,0.31290836449930626,10.350217121212651,0.9362255076607039
ME3 BM4,stock,0.11860346019989038,0.9735783502133808,59.72316462159484,0.44126182855238416,18.03218855315103,0.5088341178394199,18.478361397633524,0.9412396463662432
ME3 BM5,stock,0.051793494284998465,1.0632106792320106,51.376357924760995,0.6490284061611036,20.89237747950536,0.7005162744480645,20.039069055518375,0.929113631659468
ME4 BM1,stock,0.11883989716595894,1.0596480683461211,57.02424855494072,0.2969549598159391,10.645564088132481,-0.45017958615793924,-14.341647593489796,0.9466201879741927
ME4 BM2,stock,-0.15375733891303883,1.0642520031756915,52.11678082147676,0.2788419737932878,9.096439372387508,0.02758647032568868,0.7997321786726161,0.9235998586189302
ME4 BM3,stock,0.005306020791120698,1.0501983951349878,52.34855332917934,0.2306965775707428,7.66045667976427,0.3162837277925074,9.333091245356703,0.9164783383041769
ME4 BM4,stock,0.09608016965044067,1.0305882791216716,50.90214010707547,0.2388957931939044,7.860307214605983,0.5581415479995403,16.319638129921206,0.9096184384187602
ME4 BM5,stock,0.04054955755457198,1.1485732513202447,47.005016623856775,0.3541400614798592,9.654743632874197,0.745228104424746,18.054691265859876,0.899492111166289
BIG LoBM,stock,0.19408730826432466,0.9615466603971009,58.231962602756205,-0.19929271961396944,-8.040122626478043,-0.44230872193408655,-15.85739687948572,0.9393405030386225
ME5 BM2,stock,-0.029322419982699008,1.0236715291247998,57.51029739983669,-0.19064418566324437,-7.13491376698705,-0.011903112972583011,-0.3958775494140463,0.9236018015699057
ME5 BM3,stock,-0.05115812712857646,0.970602270127291,43.88843423906939,-0.261188956638293,-7.867627148636021,0.19929397129293253,5.334801624488477,0.8635897472862489
ME5 BM4,stock,-0.06359938117942962,0.9985640563729443,54.42505049557175,-0.20164287220445476,-7.321262210317012,0.5604079436851872,18.081835869962177,0.9029069696624482
BIG HiBM,stock,-0.17396194187474887,1.035352579936508,39.236163118037425,-0.05386218208380215,-1.3597603722297729,0.7668629311698582,17.204075328565644,0.8367590723683719
SHORT_TERM,bond,0.05707431089173729,6.456810198519996e-05,0.11885881890606914,-0.0006333793632443927,-0.7789202309561584,-0.0001684513921312336,-0.1847216663987158,0.00197631744993787
LONG_TERM,bond,0.10323575259529938,0.0033656286230694106,2.291243763587843,-0.00021797981773121128,-0.09913729691958369,0.0017472235297910231,0.7085710692822237,0.017263790851489103
AAA,bond,0.12151235996555575,0.003685098318227867,2.442528589188506,-0.00022424913896320904,-0.09929720983157271,0.0019498571197457887,0.7698803023593364,0.019591678406050583
AA,bond,0.13978896733581284,0.0040045680133862765,2.5752067088973427,-0.00023051846019515236,-0.09903251666148918,0.0021524907097006138,0.8245700377225963,0.02174936164110075
A,bond,0.15806557470607058,0.004324037708544676,2.6902163034489255,-0.00023678778142722427,-0.09841758429109149,0.0023551242996553163,0.8728535935941777,0.023706941660986858
BBB,bond,0.1763421820763279,0.004643507403703077,2.788926685934196,-0.00024305710265902364,-0.09752477497680195,0.0025577578896101186,0.9151246034595393,0.025451500652247883
LOW_GRADE,bond,0.19461878944658534,0.004962977098861548,2.8729429706762626,-0.0002493264238911474,-0.09642035510911635,0.0027603914795649677,0.9518866923658359,0.026983291146882582
