portfolio,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared,r_squared_table1,r_squared_table3,r_squared_table4,type
SMALL LoBM,0.34985017706066746,1.15251041391341,29.923922121267303,1.4126998972095333,24.304206129545896,-0.18011651297331652,-2.6863305669232838,-0.27052605638547794,-2.1391851597566434,-0.38042865154457833,-0.9425815702510421,0.8941544522423991,0.6641827904681523,0.04307968751487612,0.8915533168793357,stock
ME1 BM2,-0.052763410668447065,0.9953368533757796,33.753138987092925,1.2054818199185589,27.087106611531322,0.05812223710906184,1.1321883214035944,0.014676317030293318,0.15157472386900173,-0.05052712183604807,-0.16350864220093425,0.9141394651249971,0.6740184748703835,0.06425469271320727,0.9141268481603388,stock
ME1 BM3,-0.5923198601238439,0.9833044069584936,37.586066835317304,1.137112843981161,28.800520055762007,0.26003175579719723,5.709493072777329,0.07524199453658467,0.8759207477790819,0.25476602334021026,0.9292925873024046,0.9274917465277792,0.6762417604261242,0.07883912969176188,0.9269326364767313,stock
ME1 BM4,-0.29076745185052416,0.9324199400276073,42.990606895755946,1.1123722630153812,33.9836516742839,0.4000814189535714,10.596017607093442,0.04612031854720309,0.647619534083889,0.16050863861345785,0.7062077893542934,0.9447376109842304,0.6576029414895523,0.07596988371110047,0.9444977941829197,stock
SMALL HiBM,-0.023361779371275933,0.9624708673377506,39.94492825758072,1.1638146612735927,32.00484626370123,0.6582704706467106,15.693170453838269,0.06537230815314267,0.8262918892449206,-0.056571653171614035,-0.22405002224404497,0.9378159518964304,0.6068366837862138,0.06909276781641449,0.9376613034708318,stock
ME2 BM1,1.1769502437541226,1.2282429186603645,34.83659131173288,0.9866762440612219,18.5431676767194,-0.546299363174807,-8.900498774855409,-0.14464443289308662,-1.2494495522263156,-0.8799518901304332,-2.3816743627824604,0.9020685729442606,0.7640647289530649,0.03462430857299559,0.898829521216731,stock
ME2 BM2,-0.923094078977584,1.0730562598321856,36.33124419419755,1.0532311669298917,23.628673945067053,0.04218784525826921,0.820497739094854,0.10178994802655647,1.0496107959909904,0.5474205522328743,1.768686844448633,0.9157097470873499,0.7310605524418973,0.08695321113387966,0.9140620700830252,stock
ME2 BM3,0.2912809983757254,1.0282225067951885,42.2934026687985,0.876911202400378,23.90006093931573,0.22986750097275307,5.43119457043691,-0.04119441362466487,-0.5160472459432086,-0.17278521296396587,-0.6782099586454016,0.927870242572606,0.7558192874846305,0.06022067066999326,0.9276241504806018,stock
ME2 BM4,0.3338584840599004,1.0227580275591726,40.795760421239684,0.8190339102617654,21.647207877426307,0.45648024988585384,10.459150051079988,-0.008295266965487037,-0.10077159234777122,-0.13537948907877864,-0.5153082257850192,0.9204864537261502,0.72914586273428,0.0631661244357632,0.9203949031080672,stock
ME2 BM5,0.8215230478686307,1.0684653282909877,38.73161004470739,0.9269499837248559,22.264825042315675,0.6647706777729702,13.842331244158913,-0.03609694618391479,-0.3985118103673012,-0.6512123186007308,-2.2526815011412924,0.9157739187616053,0.6739153877567234,0.04769293622385473,0.9139462421739493,stock
ME3 BM1,0.08770801424689413,1.1210129889817801,38.10039216055894,0.8132553001303297,18.314858693660234,-0.3722607093781182,-7.26772134561891,-0.06747814165103336,-0.6984696384978137,-0.10841002278823693,-0.3516092610293474,0.9124660237634789,0.7978198743272065,0.054057941049300506,0.9122222078576349,stock
ME3 BM2,-0.0944095505749408,1.085256441764631,40.75060347715808,0.7646827628650358,19.025708641264806,0.02213264330634687,0.47738330074756946,-0.06825794732197892,-0.7805855619172685,0.39409771632655183,1.4121396884751802,0.9179600783326203,0.8027554582110414,0.07297826576363109,0.9173001769080942,stock
ME3 BM3,0.2660804812376611,1.0528546850793543,37.68999904452977,0.7107585509678854,16.85922685614875,0.21248111413263293,4.369284188041793,0.002059440441804811,0.02245290543493962,-0.14254274285358004,-0.48693935080454814,0.9009588596840011,0.7807702543496124,0.0615552493472209,0.9008703744503425,stock
ME3 BM4,0.05901710266019761,0.9953738193715195,37.66250014941785,0.5775887098599843,14.48103146190824,0.5172837558972615,11.243047337559968,-0.07398803983203052,-0.8526093137073585,0.11383124716876393,0.411013886845702,0.8953250721704358,0.743789585039968,0.06438621509189746,0.8950299723861138,stock
ME3 BM5,0.7609000960300873,1.0343660448464758,38.02878724663493,0.6245952055189371,15.215798043512562,0.6417427717290475,13.55287621745263,-0.05412668509801969,-0.6060595074164025,-0.41499255433585897,-1.4559638555965362,0.8977965492023257,0.7180567755502585,0.04973419824450753,0.8966598207482328,stock
ME4 BM1,0.5126676965514492,1.1214818281073515,43.58993909600496,0.3752917335130736,9.66542351592385,-0.38727069801049024,-8.64651153964194,0.001384105438988667,0.0163843348276372,-0.33694853496788235,-1.2497687536492612,0.9163071449582506,0.8710770584074304,0.048103467436784175,0.9158079105377513,stock
ME4 BM2,-0.06103128255793484,1.140841095648628,41.06598638146862,0.4432879764051841,10.573065492907055,-0.023074421349883533,-0.47711183144365205,-0.11483557560854177,-1.258923009726756,0.19106563302223867,0.656314120123643,0.9026851860233437,0.8612240049404651,0.06003041213323679,0.9020744586423693,stock
ME4 BM3,0.12183381257229554,1.0750031340693165,40.42148474174371,0.4117315959252224,10.258281107255447,0.23544418601338027,5.085372471429888,0.005942166622037834,0.06804762544238427,-0.026859962255637117,-0.09637846343097027,0.8967702477281697,0.8401410592735071,0.0630989415160188,0.8967659302350289,stock
ME4 BM4,0.4121671113271019,1.1284526722954416,37.4078732708906,0.28488880784464043,6.257673872815759,0.5374832574158405,10.234741431823931,0.04539777804089397,0.4583316875905159,-0.34482464291522014,-1.0908123156381422,0.8717048986119174,0.7947035179122641,0.05386575067610044,0.8711288444402431,stock
ME4 BM5,0.39125613203817927,1.1617320004700957,30.589841177975973,0.39738800137024194,6.933362202913643,0.7453090761950658,11.273011384132024,0.06470631966303331,0.5188998996026561,-0.3641476611195079,-0.9149995137179098,0.8295718358235584,0.704731085824065,0.05268063923432231,0.8289911208335514,stock
BIG LoBM,0.23439266278211077,0.9558727201408324,45.393251513878944,-0.1436917928849918,-4.521484614974689,-0.46405610982788054,-12.658842189767888,0.035875961454319,0.5188721867123378,-0.07955392354875047,-0.36051629335482294,0.9134047986782298,0.8491098371182557,0.0430386226718088,0.9133007694126388,stock
ME5 BM2,0.15244409995765829,1.058937011309557,47.62343034344,-0.11689008471870825,-3.483261576461637,0.04573363790505082,1.1814587461519375,-0.05035444934663165,-0.6896901380052889,-0.07742229723499433,-0.33226811593134037,0.9061458102377915,0.9014154173754376,0.04555808983729914,0.9058962919204604,stock
ME5 BM3,0.5591708044195122,1.0864799728834853,43.68974593420648,-0.0955118445161955,-2.544912734278655,0.21805109652131358,5.0367261033437405,-0.09267662865743698,-1.1349941907338463,-0.49434889039430935,-1.8969829440807333,0.8867064548345326,0.8722850006727103,0.03255693720495445,0.8841462631893281,stock
ME5 BM4,0.3913743014042547,1.1020525671988608,38.80230726861042,-0.12371404801438128,-2.886237906830796,0.4962775291264387,10.03718934649321,-0.04927189617081074,-0.5283480802533784,-0.36333818273257434,-1.2207826494585567,0.8586744681063329,0.804991152224736,0.037756996047844216,0.8575518593155009,stock
BIG HiBM,-0.8125397859314272,1.1952043759563296,31.56234996965902,-0.05534598937993688,-0.9684365697968308,0.9770667982875635,14.821210591281408,0.0323298070152421,0.26001349366819554,0.43273347686536623,1.090485058218239,0.8176564761840776,0.667826563729847,0.062932261538023,0.8166842661860754,stock
SHORT_TERM,0.013024532695484385,-0.0011698929951359782,-2.788644013718001,-0.0004072501344852554,-0.6432296308080399,-0.0009051724555320891,-1.239397262948607,0.017836222941052776,12.948380323435185,0.020591146325791506,4.683812814805468,0.45657038381806214,0.0002512353549405377,0.49224031362431975,0.002205059972999135,bond
LONG_TERM,0.0041593327431068946,-0.000719130846555251,-2.980288254929521,0.0009780601740030414,2.685800790412512,-4.8076667787269816e-05,-0.1144503112638175,0.08249608544248972,104.12363294453489,-0.0015887424263275943,-0.6283128115900894,0.9770689310144941,0.022033005901086034,0.9775846614087992,0.02460696884771285,bond
AAA,0.00415933274310561,-0.00071913084655524,-2.9802882549294956,0.0009780601740030674,2.685800790412602,-4.807666778733621e-05,-0.11445031126397635,0.08249608544248978,104.12363294453569,0.015077924240339215,5.962988597395537,0.9778679207829242,0.02534973101897009,0.9788024201314571,0.028622166241559666,bond
AA,0.00415933274310471,-0.0007191308465552453,-2.9802882549295795,0.0009780601740030808,2.6858007904126944,-4.807666778728269e-05,-0.1144503112638513,0.08249608544248975,104.1236329445378,0.03174459090700612,12.554290006381462,0.9787749416407983,0.028571751819222002,0.9800904648329072,0.032604016114798684,bond
A,0.004159332743104583,-0.0007191308465552527,-2.980288254929611,0.0009780601740030262,2.685800790412545,-4.8076667787361377e-05,-0.11445031126403866,0.08249608544249032,104.12363294453857,0.0484112575736724,19.145591415367026,0.979757689549448,0.031640416133172256,0.9814016765968973,0.036470221701877414,bond
BBB,0.004159332743104428,-0.000719130846555282,-2.9802882549297145,0.0009780601740032007,2.685800790413008,-4.80766677873793e-05,-0.11445031126408065,0.08249608544249049,104.12363294453813,0.06507792424033898,25.736892824352548,0.9807859844464683,0.0345128821225309,0.9826985099728326,0.04015657929828842,bond
LOW_GRADE,0.0041593327431032785,-0.0007191308465552367,-2.980288254929612,0.00097806017400305,2.685800790412671,-4.807666778733867e-05,-0.11445031126398718,0.08249608544249029,104.12363294454087,0.0817445909070065,32.32819423333948,0.9818332836155304,0.03716160811894076,0.9839532197762431,0.043617377359721266,bond
