Type,Label,Mean,Std,N,T_Stat
Stock,SMALL LoBM,-0.00983285512816815,8.411790168853823,281,-0.019594959481716828
Stock,ME1 BM2,0.4240062462582692,7.1508473570319735,281,0.9939577098952989
Stock,ME1 BM3,0.4224405668799589,6.903443381798304,281,1.0257771234207886
Stock,ME1 BM4,0.6094238663869539,6.555737176459541,281,1.5583000478037825
Stock,SMALL HiBM,0.7692950937251841,6.865700235054881,281,1.8782841121928506
Stock,ME2 BM1,0.18010270257839725,8.005453871057233,281,0.3771268297989985
Stock,ME2 BM2,0.4087354490188684,7.228562304494145,281,0.9478585597054995
Stock,ME2 BM3,0.5781466945427206,6.432142071889995,281,1.506730496208453
Stock,ME2 BM4,0.8044735905106256,6.317360901962576,281,2.1346627084822867
Stock,ME2 BM5,0.7411328998223409,6.754138645519112,281,1.8394131255173927
Stock,ME3 BM1,0.16812398042939666,7.066286733510624,281,0.39883344282312677
Stock,ME3 BM2,0.7609789687816364,6.606692518891426,281,1.9308196919258511
Stock,ME3 BM3,0.6275785460759111,6.307145896776797,281,1.6679705233982574
Stock,ME3 BM4,0.726735790600217,5.804357021998626,281,2.098821919772212
Stock,ME3 BM5,0.8808041085338237,6.045432626486383,281,2.442334285740122
Stock,ME4 BM1,0.33962453070885856,6.319171943663182,281,0.9009320536557547
Stock,ME4 BM2,0.4296328347792314,6.327786322918588,281,1.1381482094915798
Stock,ME4 BM3,0.6053386040541078,5.8815719162000715,281,1.7252741655538333
Stock,ME4 BM4,0.6939272278928373,5.984304443722641,281,1.9438081950656652
Stock,ME4 BM5,0.7962915877491064,6.53666808069572,281,2.0420616756905328
Stock,BIG LoBM,0.2648236328246032,5.08464044325709,281,0.8730711777402786
Stock,ME5 BM2,0.3277282404218631,5.157283508285604,281,1.06523645325963
Stock,ME5 BM3,0.2502189688014008,5.249742579211725,281,0.7989790311140483
Stock,ME5 BM4,0.4303129790116239,5.368251219183524,281,1.34370760120376
Stock,BIG HiBM,0.576072830284156,6.301240524818426,281,1.5325141577755443
Bond,SHORT_TERM,0.05686461388073882,0.03958294013041956,341,26.528410830333677
Bond,LONG_TERM,0.10514418377321297,0.10786195327185866,341,18.000897658570665
Bond,AAA,0.12362023460410125,0.11091691766950572,341,20.58111790836777
Bond,AA,0.14209628543499025,0.11444857037408042,341,22.927122029578893
Bond,A,0.16057233626587986,0.11841426801581649,341,25.040551001589762
Bond,BBB,0.17904838709676915,0.12277195710933375,341,26.930748469783776
Bond,LOW_GRADE,0.1975244379276585,0.12748144574358294,341,28.612186293209916
Factor,Mkt-RF,0.31956171664226907,4.771924478301383,281,1.1225723569291548
Factor,SMB,0.14444266118289023,3.0432763590895826,281,0.7956228525888238
Factor,HML,0.4465434886531631,2.555675925131724,281,2.928944477786445
Factor,TERM,1.2554093567251434,1.2981923962282325,342,17.8837814191623
Factor,DEF,1.1080994152046737,0.4785310631060733,342,42.82344916606981
