portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,r_squared
SMALL LoBM,stock,-0.4926216138863802,1.1333440344920727,29.830750104352383,1.4028436706082323,24.085696181160696,-0.18366649954732472,-2.7218433826870214,0.8915533168793357
ME1 BM2,stock,-0.09373263955164993,0.9951464788767573,34.62579710330826,1.204820654024035,27.345299789057613,0.05755467910130666,1.127519802185976,0.9141268481603388
ME1 BM3,stock,-0.1765842091922031,0.9912100544276418,38.7290809559226,1.1423572581078658,29.115278841150275,0.2626101827107383,5.77715242766912,0.9269326364767313
ME1 BM4,stock,-0.030643537581330534,0.93734093164234,44.250675497260104,1.1156599306332011,34.35592720524231,0.401708326234589,10.677361038640411,0.9444977941829197
SMALL HiBM,stock,-0.0006427104244019172,0.964535401074625,41.025459525065386,1.1637009687021473,32.286739810488776,0.657542117040148,15.746702762166477,0.9376613034708318
ME2 BM1,stock,-0.09747858957233708,1.2063003255242266,34.54152927990887,0.9700376076719254,18.118498490381473,-0.5554238959067536,-8.954502226541287,0.898829521216731
ME2 BM2,stock,-0.11372195329754241,1.0872562718128034,37.409898278384794,1.0637332614243578,23.87453165290739,0.04784183207190777,0.9268152689228574,0.9140620700830252
ME2 BM3,stock,0.023108821154560852,1.0233185543706826,43.11787622287713,0.8734803030039097,24.007511453109004,0.2281001125603035,5.411314611503631,0.9276241504806018
ME2 BM4,stock,0.15735138245398586,1.0200317977682272,41.725981670789864,0.8166527785271278,21.791032700039597,0.45504995661708897,10.480516880754363,0.9203949031080672
ME2 BM5,stock,-0.022190865297457188,1.0555285290335783,38.84311611585907,0.9155448111328769,21.977141707834356,0.6578833527520037,13.630875655740583,0.9139462421739493
ME3 BM1,stock,-0.13889679833695484,1.1159985790662532,38.86682254891969,0.8105696645397605,18.414217053199945,-0.3732905900238308,-7.319698792820793,0.9122222078576349
ME3 BM2,stock,0.28990682137107826,1.0888920803131672,41.787600345004705,0.7704313315088533,19.28608361447608,0.02647171777456237,0.5719729484949494,0.9173001769080942
ME3 BM3,stock,0.09536115655470227,1.0504865399886951,38.57046374207747,0.7083896155779039,16.966180004474932,0.2109546520285137,4.3609815304463035,0.9008703744503425
ME3 BM4,stock,0.09396073804228425,0.9938980974773873,38.53488473496521,0.5785542933610053,14.63200502341349,0.5186400753199805,11.321632370082247,0.8950299723861138
ME3 BM5,stock,0.17961434400776788,1.0246734316859183,38.443459569029336,0.6169286627572111,15.098001065835188,0.6374128234376835,13.46444807903915,0.8966598207482328
ME4 BM1,stock,0.10423125034680016,1.1157217575116087,44.36689789398395,0.36964733857454785,9.588225985253194,-0.39087239984800287,-8.751226795701873,0.9158079105377513
ME4 BM2,stock,0.010730117821606744,1.1387993997870154,41.93208061121788,0.44502845461529367,10.688936041408072,-0.02081559505945738,-0.4315377422341312,0.9020744586423693
ME4 BM3,stock,0.09744843731135167,1.0748153819210833,41.469415630365674,0.41135631441502585,10.35284534627405,0.23514600513098977,5.108135621776152,0.8967659302350289
ME4 BM4,stock,0.05582303038042818,1.1246048539010198,38.16870199509404,0.27967555643820946,6.1916937035395945,0.5337138806673811,10.198744393253932,0.8711288444402431
ME4 BM5,stock,0.038438942884319593,1.1584487851669036,31.2471242094999,0.3920972458358292,6.8988153793637395,0.7412966513118269,11.257864716216467,0.8289911208335514
BIG LoBM,stock,0.18778226296878583,0.9561672213050324,46.56557399393873,-0.14456931496328618,-4.59255904100912,-0.4649739554573887,-12.749422363433636,0.9133007694126388
ME5 BM2,stock,-0.012421424688271355,1.0552551921947333,48.633116571646106,-0.11883576990985796,-3.572475867972365,0.04500224447752214,1.1677222365070377,0.9058962919204604
ME5 BM3,stock,-0.17279204984122892,1.0736214911210638,43.8083749292889,-0.10500544254686321,-2.7948935562187756,0.21294668916326712,4.892238387896092,0.8841462631893281
ME5 BM4,stock,-0.12019662340160107,1.0934787927853031,39.35030647999345,-0.13045043133349346,-3.062180522891133,0.49249010526702985,9.97851778994684,0.8575518593155009
BIG HiBM,stock,-0.24019517609790283,1.2041892306447814,32.543764545567136,-0.047660385632972035,-0.8401911798031854,0.9816276191396288,14.936560125277351,0.8166842661860754
SHORT_TERM,bond,0.06310022829690207,1.6143915730338066e-05,0.02914119887787247,0.0001671174832883739,0.19677410033353804,-0.0007190875585492438,-0.7308211032865314,0.002205059972999135
LONG_TERM,bond,0.11784201755407954,0.0030927780297092906,2.0166104998133587,0.0020075364651520725,0.8538552064655693,-0.00022164158530090403,-0.08136830931753482,0.02460696884771285
AAA,bond,0.1381406792692819,0.0033808777603866994,2.1701883533034367,0.002287604717670526,0.9578476964544861,-4.3618626296672016e-05,-0.01576415570320739,0.028622166241559666
AA,bond,0.15843934098448467,0.003668977491064093,2.3110976721888545,0.002567672970188969,1.0550194782736495,0.00013440433270767556,0.04766694226085876,0.032604016114798684
A,bond,0.17873800269968815,0.003957077221741498,2.4390625713826886,0.0028477412227073395,1.1449761859995837,0.0003124272917118903,0.10842468081556686,0.036470221701877414
BBB,bond,0.19903666441489157,0.004245176952418869,2.5542042123030178,0.00312780947522594,1.2275738425705416,0.0004904502507161664,0.16614434039076145,0.04015657929828842
LOW_GRADE,bond,0.21933532613009457,0.004533276683096313,2.6569632814645416,0.003407877727744224,1.3028812859822272,0.0006684732097205072,0.2205911601920359,0.043617377359721266
